campaign_id,campaign_name,Campaign_Type,Company,Role,Location,City_Size,platform,Is_Facebook,Is_LinkedIn,Is_Snapchat,Is_TikTok,total_impressions,total_clicks,total_spend,campaign_days,ctr_percent,CTR_Category,cpc_sek,CPC_Category,Daily_Spend,Clicks_Per_Day,Cost_Efficiency
120211211988450610,DOZ Apotek - Lediga tjänster - Flera platser - Brand Awareness Kampanj - Position ID: (xxxxx) - AGNES,Brand Awareness,DOZ Apotek,,Unknown,Unknown,facebook,1,0,0,0,231944,11257,18000.0,179,4.853326665057082,High,1.5990050635160344,Very Low,100.55865921787709,62.88826815642458,62.53888888888889
120211870968020198,Karolinska - Operationssjuksköterska till Barnoperation - Solna - Boost Rörlig - Position ID: (54096) - MOA,Recruitment,Karolinska,Sjuksköterska,Solna,Liten stad,facebook,1,0,0,0,353610,8936,17399.0618,92,2.5270778541330845,Medium,1.9470749552372424,Very Low,189.12023695652172,97.1304347826087,51.35909109765907
120201327109880198,Karolinska - Anestesisjuksköterska och Operationssjuksköterska - Stockholm - Boost Premium - Position ID: (48819+48820) - AGNES,Recruitment,Karolinska,Sjuksköterska,Stockholm,Stor stad,facebook,1,0,0,0,225799,5755,13999.9138,76,2.5487269651327065,Medium,2.432652267593397,Low,184.20939210526316,75.72368421052632,41.10739596125227
120214887635310370,Svenska Kyrkan Bollnäs pastorat - Flytta till Bollnäs - Sverige - Awarenesskampanj - Position ID (X) - AGNES,Brand Awareness,Svenska Kyrkan Bollnäs pastorat,,National,Nationell,facebook,1,0,0,0,305646,11083,13946.9189,90,3.626090313630802,High,1.2584064693674997,Very Low,154.96576555555555,123.14444444444445,79.46558002857535
120206179748260772,We Select - Lead Developer - Stockholm - Boost Plus - Position ID: (51035) - EDVIN,Other,We Select,,Stockholm,Stor stad,facebook,1,0,0,0,117379,3027,13000.0,58,2.5788258547099567,Medium,4.294681202510737,Low,224.13793103448276,52.189655172413794,23.284615384615385
120214159723810198,Karolinska - Sjuksköterska till rotationstjänst på Sveriges mest avancerade Angiolab - Stockholm - Boost - Varbi ID: (754090) - AGNES,Product/Service,Karolinska,Sjuksköterska,Stockholm,Stor stad,facebook,1,0,0,0,212977,6774,12950.0001,31,3.180625137925692,High,1.9117213020372008,Very Low,417.7419387096774,218.51612903225808,52.308879904950736
df7437c5-66ea-4281-9843-248e8ef4b8f2,Karolinska - Operationssjuksköterska till Barnoperation - Solna - Boost Rörlig - Position ID: (54096) - MOA,Recruitment,Karolinska,Sjuksköterska,Solna,Liten stad,snapchat,0,0,1,0,204347,3950,12154.8205,66,1.932986537605152,Low,3.0771697468354433,Low,184.16394696969698,59.84848484848485,32.49739475790695
120203928144310772,We Select - Two-Step Advertising - Step 2/2 - B2B-säljare - Stockholm - Position ID (49895) - EDVIN,Recruitment,We Select,Säljare,Stockholm,Stor stad,facebook,1,0,0,0,152150,3166,11900.92,46,2.0808412750575087,Medium,3.758976626658244,Low,258.71565217391304,68.82608695652173,26.60298531542099
120209400515090451,Allerskog & Krantz - Snickare - Stockholm - Boost - Position ID (53593) - MOA,Other,Allerskog & Krantz,,Stockholm,Stor stad,facebook,1,0,0,0,273218,11920,11459.7357,84,4.362816505501102,High,0.9613872231543624,Very Low,136.425425,141.9047619047619,104.01636051693583
120212890730910700,Elme - Jobba på ELME - Flera orter - Awarenesskampanj - Position ID (xxxxx) - AGNES,Brand Awareness,Elme,,Unknown,Unknown,facebook,1,0,0,0,184615,5877,11250.01,93,3.1833816320450667,High,1.914243661732176,Very Low,120.96784946236559,63.193548387096776,52.23995356448572
