campaign_id,campaign_name,platform,total_impressions,total_clicks,total_spend,campaign_days,ctr_percent,cpc_sek
120200869100820496,Rusta Norge (310) - Employer Branding - Step 1/3 - Awareness - CI: Retail & Grocery Stores - TA: Retail & Grocery Stores - Norway - Multiple Cities - Edvin,facebook,1989114,47344,81531.8189,458,2.380155184670159679133523769879453867,1.72211513391348428523149712740790807705
23851681902920147,Rusta Sverige (101) - Employer Branding - Step 1/3 - Awareness - CI: Retail & Grocery Stores - TA: Logistics & Transportation - Sweden - Multiple Cities - Edvin - Varuhus,facebook,1687709,121304,79633.8477,453,7.187495000619182572351039189812935761,0.65648163044911956736793510519026577854
23852746226570365,Rusta Tyskland (304) - Employer Branding - Step 1/3 - Awareness - CI: Retail & Grocery Stores - TA: Retail & Grocery Stores - Germany - City - Edvin,facebook,1579048,26305,76118.6807,454,1.665877161428911597367527776229728292,2.89369628207565101691693594373693214218
23858518213820610,"Implenia - Employer Branding - Step 1/3 - Awareness - CI: Construction, Civil Engineering & Infrastructure - TA: Construction, Civil Engineering & Infrastructure - Sweden - Multiple Cities - Edvin",facebook,1410214,35161,65769.3332,458,2.493309526071929508571039572717332263,1.87051941639885099968715338016552430249
23853626334590777,Bilprovningen (81) - Employer Branding - Step 1/3 - Awareness - Automotive - Automotive - Sweden - EDVIN,facebook,1397283,71392,64222.5395,457,5.109344348997304053652695982131035731,0.89957613598162259076647243388614970865
23852994374020605,Lindex (689) - Employer Branding - Step 1/3 - Awareness - CI: Retail & Grocery Stores - TA: Data & IT - Sweden - Gothenburg - Edvin,facebook,866298,26245,61591.69,458,3.029557958116029357103444773045764852,2.34679710421032577633835016193560678224
120203758414030530,"Bjerking NORR - Employer Branding - Step 1/2- Awareness - CI: Construction, Civil Engineering & Infrastructure - TA: Multiple Target Audiences - Sweden - Multiple Cities - Edvin - N:",facebook,945621,20694,60033.6779,305,2.188403176325398864872924776416767394,2.90101855127089977771334686382526336136
120208287609440167,Skandia Fastigheter (331) - Employer Branding - Step 1/1 - Awareness - CI: Real Estate - TA: Multiple Target Audiences - Sweden - Multiple Cities - Edvin - N:,facebook,808529,40300,59782.7925,457,4.984360486760524359670463273426185084,1.48344398263027295285359801488833746898
276382543,"Implenia - Employer Branding - Step 1/3 - Awareness - CI: Construction, Civil Engineering & Infrastructure - TA: Construction, Civil Engineering & Infrastructure - Sweden - Multiple Cities - Edvin",linkedin,109231,334,57137.3012,409,0.305774001885911508637657807765194862,171.06976407185628742514970059880239520958
120201406470640496,Rusta Norge (310) - Employer Branding - Step 2/3 - Consideration - CI: Retail & Grocery Stores - TA: Retail & Grocery Stores - Norway - Multiple Cities - Edvin,facebook,1122910,38661,53750.3388,458,3.442929531307050431468238772475087051,1.39029871963994723364631023512066423528
120200928162460355,Meliva (687) - Employer Branding - Step 1/3 - Awareness - CI: Healthcare - TA: Health Care - Sweden - Multiple Cities - Edvin - N: Generell,facebook,581916,21789,53324.5389,443,3.744354855339945971583527519435794857,2.44731464959383174996557896186148974253
23851682194320147,Rusta Sverige (101) - Employer Branding - Step 2/3 - Consideration - CI: Retail & Grocery Stores - TA: Logistics & Transportation - Sweden - Multiple Cities - Edvin - Varuhus,facebook,1411067,69352,52742.4819,453,4.914862299238802976754470198792828406,0.76050412244780251470757872880378359672
23852756869570365,Rusta Tyskland (304) - Employer Branding - Step 2/3 - Consideration - CI: Retail & Grocery Stores - TA: Retail & Grocery Stores - Germany - City - Edvin,facebook,924549,21612,52067.6023,454,2.337572156802938513805109301940730021,2.40919869979640940218397186748102905793
23852316310310327,Pricer (483) - Employer Branding - Step 1/3 - Awareness - CI: Technology & Electronics - TA: Data & IT - Sweden - Multiple cities - Edvin,facebook,924052,11587,51912.5299,455,1.253933761303476427733504175089713566,4.48023905238629498575990333994994390265
23852121697070458,"Billerud (143) - Employer Branding - Step 1/3 - Awareness - Manufacturing - Installation, Operations & Maintenance - Sweden - Multiple Cities - Edvin",facebook,1328651,53459,50195.931,456,4.023554718281926555581563555817140844,0.93896127873697600029929478665893488468
23852348453890063,Remeo - Employer Branding - Step 1/3 - Awareness - CI: Healthcare - TA: Health Care - Sweden - Multiple cities - Edvin,facebook,721351,24332,49566.7779,432,3.373115168621101239202551878350484022,2.037102494657241492684530659214203518
23852239755010601,Dekra Industrial (350) - Employer Branding - Step 1/3 - Awareness - CI: Manufacturing & Industry - TA: Engineering - Sweden - Multiple Cities - Edvin,facebook,905420,24785,49339.7954,458,2.73740363588169026529124605155618387,1.99071193867258422432923138995360096833
23850991181080592,Rusta Finland (309) - Employer Branding - Step 1/3 - Awareness - CI: Retail & Grocery Stores - TA: Logistics & Transportation - Finland - Multiple Cities - Edvin - Varuhus,facebook,628971,40365,46919.92,452,6.417624977940159403215728547103125581,1.16239118047813699987613031091291960857
120208472227980716,Werksta (XXX) - Employer Branding - Step 1/3 - Awareness - CI: Automotive - TA: Marketing - Sweden - Multiple Cities - Moa - N:,facebook,754780,21912,46535.8709,332,2.90309759135112218129786162855401574,2.1237619067177802117561153705732018985
120205333933560632,Advisense - Employer Branding - Step 1/3 - Awareness - CI: Data & IT - TA: Data & IT - Sweden - Multiple Cities - Moa - N:,facebook,687142,10400,45361.2292,458,1.513515401474513273821131585611125502,4.36165665384615384615384615384615384615
189983313,Dekra Industrial (350) - Employer Branding - Step 1/3 - Awareness - CI: Manufacturing & Industry - TA: Engineering - Sweden - Multiple Cities - Edvin,linkedin,159111,359,45127.6238,408,0.225628649182017585207810899309287227,125.70368746518105849582172701949860724234
23852029519670327,Hemsö (115) - Employer Branding - Step 1/3 - Awareness - CI: Real Estate - TA: Real Estate - Sweden - Stockholm - Edvin,facebook,649033,26001,44081.0029,458,4.006113710705002673207679732771677249,1.6953579823852928733510249605784392908
23862072395510460,Advania - Employer Branding - Step 1/1 - Awareness - CI: Data & IT - TA: Data & IT - Sweden - Multiple Cities - Agnes - N:,facebook,649721,38651,43966.2758,458,5.948861126545086275493634960236778556,1.13751974851879640888980880184212568886
23852012061730147,Rusta Sverige (101) - Employer Branding - Step 1/3 - Awareness - CI: Retail & Grocery Stores - TA: Head Office - Sweden - Multiple Cities - Edvin - HK,facebook,765129,35533,42645.5417,453,4.64405348640556036955859730842772918,1.20016721639039765851462021219711254327
120209837030420278,ISG Nordic  (678) - Employer Branding - Step 1/2 - Awareness - CI: Safety & Security - TA: Multiple Target Audiences - Sweden - Multiple cities - Edvin,facebook,491809,30408,42064.4552,448,6.182888072402091055674052325191283608,1.38333514864509339647461194422520389371
23858790170640610,"Implenia - Employer Branding - Step 2/3 - Consideration - CI: Construction, Civil Engineering & Infrastructure - TA: Construction, Civil Engineering & Infrastructure - Sweden - Multiple Cities - Edvin",facebook,1086348,39000,41743.3931,458,3.590009831103845176683714610787703388,1.07034341282051282051282051282051282051
23851932644710599,"Getinge (283) - Employer Branding - Step 1/3 - Awareness - CI: Manufacturing & Industry - TA: Installation, Operations & Maintenance - Sweden - Multiple Cities - Edvin",facebook,531890,21357,41711.0997,458,4.015303916223279249468875143356709094,1.95304114341901952521421547970220536592
23851790739720538,"Teracom (232) - Employer Branding - Step 1/3 - Awareness - CI: Telecommunication - TA: Installation, Operations & Maintenance - Sweden - Multiple cities - Edvin - Fält",facebook,587081,20185,41675.43,322,3.438196773528695358902774915216128609,2.06467327223185533812236809512013871687
120201990690830179,Elgiganten logistik - Employer Branding - Step 1/3 - Awareness - CI: Logistics & Transportation - TA: Multiple Target Audiences - Sweden - Jönköping - Edvin - N:,facebook,717258,22107,40059.25,458,3.082154538534251273600294454715039776,1.8120617903831365630795675577871262496
23855395022810652,Epidemic Sound - Employer Branding - Step 1/3 - Awareness - CI: Technology & Electronics - TA: Data & IT - Sweden - Multiple cities - Edvin,facebook,668396,12521,39679.8592,458,1.873290683965792733648914715228696761,3.16906470729174986023480552671511860075
218029943,Hemsö (115) - Employer Branding - Step 1/3 - Awareness - CI: Real Estate - TA: Real Estate - Sweden - Stockholm - Edvin,linkedin,74570,739,38371.5566,409,0.991015153547002816145903178221805015,51.92362192151556156968876860622462787551
120201530604750382,SEB - Trafikdrivare - Sverige - Boost + Reddit - Uptrail ID (-) - MOA,facebook,605478,15599,37072.22,371,2.576311608349105995593564093162757359,2.3765767036348483877171613564972113597
120210964835140675,Trafikförvaltningen - Employer Branding - Step 1/3 - Awareness - CI: Public Administration - TA: Multiple Target Audiences - Sweden - Stockholm - Agnes - N:,facebook,478553,14363,36863.456,93,3.001339454564071273192310987497727524,2.56655684745526700550024368168209983987
