Roll,Category,Storlek_pa_Stad,Senioritet,Platform,Total_Impressions,Total_Clicks,Total_Spend_SEK,Campaign_Days,CTR_Percent,CPC_SEK,Daily_Spend_SEK,Company,Industry,Target_Audience,Country,Location,Campaign_Step,Confidence,Campaign_ID,Original_Campaign_Name
Butikssäljare,Retail & Grocery Stores,Multiple Cities,Unknown,Facebook,1989114,47344,81531.82,458,2.38,1.72,178.02,Rusta Norge (310),Retail & Grocery Stores,Retail & Grocery Stores,Norway,Multiple Cities,Step 1/3,1.0,120200869100820496,Rusta Norge (310) - Employer Branding - Step 1/3 - Awareness - CI: Retail & Grocery Stores - TA: Retail & Grocery Stores - Norway - Multiple Cities - Edvin
Logistikkoordinator,Retail & Grocery Stores,Multiple Cities,Unknown,Facebook,1687709,121304,79633.85,453,7.187,0.66,175.79,Rusta Sverige (101),Retail & Grocery Stores,Logistics & Transportation,Sweden,Multiple Cities,Step 1/3,1.0,23851681902920147,Rusta Sverige (101) - Employer Branding - Step 1/3 - Awareness - CI: Retail & Grocery Stores - TA: Logistics & Transportation - Sweden - Multiple Cities - Edvin - Varuhus
Butikssäljare,Retail & Grocery Stores,Mellanstor stad,Unknown,Facebook,1579048,26305,76118.68,454,1.666,2.89,167.66,Rusta Tyskland (304),Retail & Grocery Stores,Retail & Grocery Stores,Germany,City,Step 1/3,1.0,23852746226570365,Rusta Tyskland (304) - Employer Branding - Step 1/3 - Awareness - CI: Retail & Grocery Stores - TA: Retail & Grocery Stores - Germany - City - Edvin
Ingenjör,"Construction, Civil Engineering & Infrastructure",Multiple Cities,Unknown,Facebook,1410214,35161,65769.33,458,2.493,1.87,143.6,Implenia,"Construction, Civil Engineering & Infrastructure","Construction, Civil Engineering & Infrastructure",Sweden,Multiple Cities,Step 1/3,1.0,23858518213820610,"Implenia - Employer Branding - Step 1/3 - Awareness - CI: Construction, Civil Engineering & Infrastructure - TA: Construction, Civil Engineering & Infrastructure - Sweden - Multiple Cities - Edvin"
IT-specialist,Retail & Grocery Stores,Mellanstor stad,Unknown,Facebook,866298,26245,61591.69,458,3.03,2.35,134.48,Lindex (689),Retail & Grocery Stores,Data & IT,Sweden,Gothenburg,Step 1/3,1.0,23852994374020605,Lindex (689) - Employer Branding - Step 1/3 - Awareness - CI: Retail & Grocery Stores - TA: Data & IT - Sweden - Gothenburg - Edvin
Allmän rekrytering,"Construction, Civil Engineering & Infrastructure",Multiple Cities,Unknown,Facebook,945621,20694,60033.68,305,2.188,2.9,196.83,Bjerking NORR,"Construction, Civil Engineering & Infrastructure",Multiple Target Audiences,Sweden,Multiple Cities,Step 1/2- Awareness,1.0,120203758414030530,"Bjerking NORR - Employer Branding - Step 1/2- Awareness - CI: Construction, Civil Engineering & Infrastructure - TA: Multiple Target Audiences - Sweden - Multiple Cities - Edvin - N:"
Allmän rekrytering,Real Estate,Multiple Cities,Unknown,Facebook,808529,40300,59782.79,457,4.984,1.48,130.82,Skandia Fastigheter (331),Real Estate,Multiple Target Audiences,Sweden,Multiple Cities,Step 1/1,1.0,120208287609440167,Skandia Fastigheter (331) - Employer Branding - Step 1/1 - Awareness - CI: Real Estate - TA: Multiple Target Audiences - Sweden - Multiple Cities - Edvin - N:
Ingenjör,"Construction, Civil Engineering & Infrastructure",Multiple Cities,Unknown,Linkedin,109231,334,57137.3,409,0.306,171.07,139.7,Implenia,"Construction, Civil Engineering & Infrastructure","Construction, Civil Engineering & Infrastructure",Sweden,Multiple Cities,Step 1/3,1.0,276382543,"Implenia - Employer Branding - Step 1/3 - Awareness - CI: Construction, Civil Engineering & Infrastructure - TA: Construction, Civil Engineering & Infrastructure - Sweden - Multiple Cities - Edvin"
Butikssäljare,Retail & Grocery Stores,Multiple Cities,Unknown,Facebook,1122910,38661,53750.34,458,3.443,1.39,117.36,Rusta Norge (310),Retail & Grocery Stores,Retail & Grocery Stores,Norway,Multiple Cities,Step 2/3,1.0,120201406470640496,Rusta Norge (310) - Employer Branding - Step 2/3 - Consideration - CI: Retail & Grocery Stores - TA: Retail & Grocery Stores - Norway - Multiple Cities - Edvin
Sjuksköterska,Healthcare,Multiple Cities,Unknown,Facebook,581916,21789,53324.54,443,3.744,2.45,120.37,Meliva (687),Healthcare,Health Care,Sweden,Multiple Cities,Step 1/3,1.0,120200928162460355,Meliva (687) - Employer Branding - Step 1/3 - Awareness - CI: Healthcare - TA: Health Care - Sweden - Multiple Cities - Edvin - N: Generell
