campaign_id,campaign_name,Campaign_Type,Company,Role,Location,City_Size,platform,Is_Facebook,Is_LinkedIn,Is_Snapchat,Is_TikTok,total_impressions,total_clicks,total_spend,campaign_days,ctr_percent,CTR_Category,cpc_sek,CPC_Category,Daily_Spend,Clicks_Per_Day,Cost_Efficiency
120211870968020198,Karolinska - Operationssjuksköterska till Barnoperation - Solna - Boost Rörlig - Position ID: (54096) - MOA,Recruitment,Karolinska,Sjuksköterska,Solna,Liten stad,facebook,1,0,0,0,353610,8936,17399.0618,92,2.5270778541330845,Medium,1.9470749552372424,Very Low,189.12023695652172,97.1304347826087,51.35909109765907
120201327109880198,Karolinska - Anestesisjuksköterska och Operationssjuksköterska - Stockholm - Boost Premium - Position ID: (48819+48820) - AGNES,Recruitment,Karolinska,Sjuksköterska,Stockholm,Stor stad,facebook,1,0,0,0,225799,5755,13999.9138,76,2.5487269651327065,Medium,2.432652267593397,Low,184.20939210526316,75.72368421052632,41.10739596125227
df7437c5-66ea-4281-9843-248e8ef4b8f2,Karolinska - Operationssjuksköterska till Barnoperation - Solna - Boost Rörlig - Position ID: (54096) - MOA,Recruitment,Karolinska,Sjuksköterska,Solna,Liten stad,snapchat,0,0,1,0,204347,3950,12154.8205,66,1.932986537605152,Low,3.0771697468354433,Low,184.16394696969698,59.84848484848485,32.49739475790695
120203928144310772,We Select - Two-Step Advertising - Step 2/2 - B2B-säljare - Stockholm - Position ID (49895) - EDVIN,Recruitment,We Select,Säljare,Stockholm,Stor stad,facebook,1,0,0,0,152150,3166,11900.92,46,2.0808412750575087,Medium,3.758976626658244,Low,258.71565217391304,68.82608695652173,26.60298531542099
120201044373770592,Ömangruppen - OVK-Konsult - Kalmar - Boost Plus - Website ID (20230928) - LINNEA,Recruitment,Ömangruppen,Konsult,Kalmar,Liten stad,facebook,1,0,0,0,169843,2079,10000.0,29,1.2240716426346685,Low,4.810004810004809,Low,344.82758620689657,71.6896551724138,20.79
361197363,DEKRA Industrial - DEKRA söker en engagerad och strukturerad HR-generalist! - Göteborg - Boost Auto - Position ID: (59054) - EDVIN [20086062519],Recruitment,DEKRA Industrial,,Göteborg,Stor stad,linkedin,0,1,0,0,6603,189,8204.29,11,2.862335302135393,Medium,43.4089417989418,Very High,745.8445454545455,17.181818181818183,2.303672834578007
120212099336290592,Vita Sales - Two-Step Advertising - Step 2/2 - Innesäljare - Uppsala - Position ID (4436465) - SIMON,Recruitment,Vita Sales,Säljare,Uppsala,Mellanstor stad,facebook,1,0,0,0,117332,1970,7279.85,52,1.6789963522312752,Low,3.6953553299492383,Low,139.9971153846154,37.88461538461539,27.06099713593
120226408020970656,"Menigo - Business Controller, chef för controlling and analytics - Stockholm - Menigo Boost - Position ID: (63459) - ELVIRA [26307744008]",Recruitment,Menigo,Chef,Stockholm,Stor stad,facebook,1,0,0,0,106489,1990,6551.96,29,1.8687376160918028,Low,3.2924422110552762,Low,225.9296551724138,68.62068965517241,30.372590797257615
120219504588360176,Almab (Nolyx) - Two-Step Advertising - Step 2/2 - Automationsingenjör/tekniker - Ljusdal/flexibel - Position ID: (61511) - SIMON [21944907023],Recruitment,Almab (Nolyx),Tekniker,Unknown,Unknown,facebook,1,0,0,0,90005,2212,6251.02,29,2.4576412421532137,Medium,2.8259584086799276,Low,215.55241379310345,76.27586206896552,35.38622496808521
120209395044900675,Danderyds Sjukhus - Kampanj Sjuksköterska - Danderyd - Boost + Snapchat - Varbi ID: (x) - MOA,Recruitment,Danderyds Sjukhus,Sjuksköterska,Unknown,Unknown,facebook,1,0,0,0,134357,3970,6000.0,29,2.9548144123491893,Medium,1.5113350125944585,Very Low,206.89655172413794,136.89655172413794,66.16666666666666
371233193,"Menigo - Two-Step Advertising - Step 2/2 - Utesäljare - Norrköping, Linköping, Stockholm, Göteborg, Malmö - Position ID: (61074) - AGNES [21279911029]",Recruitment,Menigo,Säljare,Stockholm,Stor stad,linkedin,0,1,0,0,12475,298,5400.0,23,2.3887775551102206,Medium,18.120805369127517,High,234.7826086956522,12.956521739130435,5.518518518518518
120216327158900656,"Menigo - Two-Step Advertising - Step 2/2 - Utesäljare - Norrköping, Linköping, Stockholm, Göteborg, Malmö - Position ID: (61074) - AGNES [21279911029]",Recruitment,Menigo,Säljare,Stockholm,Stor stad,facebook,1,0,0,0,108252,4430,5399.92,23,4.092303144514651,High,1.218943566591422,Very Low,234.77913043478262,192.6086956521739,82.03825241855435
120201272965150198,Karolinska - Temachef Kvinnohälsa och Hälsoprofessioner - Hela Sverige - Boost + LinkedIn Jobs - Position ID: (48260) - LINNEA,Recruitment,Karolinska,Chef,National,Nationell,facebook,1,0,0,0,75690,2071,5200.0,15,2.7361606553045315,Medium,2.5108643167551907,Low,346.6666666666667,138.06666666666666,39.82692307692307
120214041521040093,MLT Maskin & Laserteknik - Applikationsingenjörer inom vibrationsmätning - Stockholm/Södertälje - Boost Plus - Position ID (56846) - LINNEA,Recruitment,MLT Maskin & Laserteknik,Ingenjör,Stockholm,Stor stad,facebook,1,0,0,0,72892,1149,5032.67,45,1.5763046699226253,Low,4.380043516100957,Low,111.83711111111111,25.533333333333335,22.83082339990502
120213196784640592,Sigma Industry - Teknisk Projektledare - Stockholm - Rekryteringskampanj - Uptrail ID (47758) - AGNES,Recruitment,Sigma Industry,Tekniker,Stockholm,Stor stad,facebook,1,0,0,0,137443,2270,4800.0,57,1.6515937515915688,Low,2.1145374449339207,Low,84.21052631578948,39.824561403508774,47.291666666666664
120215352186770198,Karolinska - Omvårdnadschef till barnoperation - Solna - Tecknad kampanj - Position ID: (57049) - SIMON,Recruitment,Karolinska,Chef,Solna,Liten stad,facebook,1,0,0,0,46239,1112,4724.73,29,2.4048962996604595,Medium,4.248857913669065,Low,162.92172413793102,38.3448275862069,23.535736433616314
120226756807690778,AB Svensk Bilprovning - Besiktningstekniker - Gällivare - Facebook & Instagram Boost - Position ID: (62790) - SIMON [24968181593],Recruitment,AB Svensk Bilprovning,Tekniker,Unknown,Unknown,facebook,1,0,0,0,65175,1991,4623.39,22,3.0548523206751055,High,2.322144650929181,Low,210.1540909090909,90.5,43.063639450706084
120208650525660047,Fabege - Fastighetstekniker - Stockholm - Boost - Position ID: (54388) - LINNEA,Recruitment,Fabege,Tekniker,Stockholm,Stor stad,facebook,1,0,0,0,130659,2408,4499.94,18,1.8429652760238484,Low,1.8687458471760796,Very Low,249.99666666666664,133.77777777777777,53.511824602105804
120234960627330602,DEKRA Bilbesiktning - Distriktschef till Fordonsbesiktning region Öst - Nyköping - Boost Auto - Position ID: (63484) - LOUISE [27119990798],Recruitment,DEKRA Bilbesiktning,Chef,Unknown,Unknown,facebook,1,0,0,0,89647,1348,4398.56,30,1.5036755273461464,Low,3.263026706231454,Low,146.61866666666668,44.93333333333333,30.646393365101304
120219418543720592,"Motum - Two Step Advertising - Step 2/2 - Hissteknikerskolan - Stockholm, Linköping, Örebro - Position ID (58481) - AGNES",Recruitment,Motum,Tekniker,Stockholm,Stor stad,facebook,1,0,0,0,109487,3585,4375.0,29,3.2743613397024305,High,1.2203626220362622,Very Low,150.86206896551724,123.62068965517241,81.94285714285714
a4580781-46ee-48d6-9506-c0d4e6225de9,"Motum - Two Step Advertising - Step 2/2 - Hissteknikerskolan - Stockholm, Linköping, Örebro - Position ID (58481) - AGNES",Recruitment,Motum,Tekniker,Stockholm,Stor stad,snapchat,0,0,1,0,45992,905,4374.6704,29,1.9677335188728473,Low,4.833889944751381,Low,150.85070344827585,31.20689655172414,20.687272805740978
120209204993230430,Frank Penny - Two-Step Advertising - Step 2/2 - Managementkonsult - Stockholm - Position ID (53667) - SIMON,Recruitment,Frank Penny,Konsult,Stockholm,Stor stad,facebook,1,0,0,0,76030,2881,4186.0,20,3.78929369985532,High,1.4529677195418256,Very Low,209.3,144.05,68.82465360726229
120207396412440176,Almab (Nylox) - Automationsingenjör/Tekniker - Ljusdal - Boost + Video - Position ID: (52446) - SIMON,Recruitment,Almab (Nylox),Tekniker,Unknown,Unknown,facebook,1,0,0,0,66321,921,4070.0,15,1.388700411634324,Low,4.419109663409338,Low,271.3333333333333,61.4,22.628992628992627
120211268509080430,Frank Penny - Two-Step Advertising - Step 2/2 - Managementkonsult - Stockholm - Position ID (55019) - LINNEA,Recruitment,Frank Penny,Konsult,Stockholm,Stor stad,facebook,1,0,0,0,58266,2515,4046.0,28,4.316410942916967,High,1.6087475149105368,Very Low,144.5,89.82142857142857,62.160158180919424
330954853,Frank Penny - Two-Step Advertising - Step 2/2 - Managementkonsult - Stockholm - Position ID (55019) - LINNEA,Recruitment,Frank Penny,Konsult,Stockholm,Stor stad,linkedin,0,1,0,0,4913,74,4046.0,29,1.506208019539996,Low,54.67567567567567,Very High,139.51724137931035,2.5517241379310347,1.828966880869995
120207440589950176,Almab (Nylox) - Automationsingenjör/Tekniker - Video - Ljusdal - Boost + Video - Position ID: (52446) - SIMON,Recruitment,Almab (Nylox),Tekniker,Unknown,Unknown,facebook,1,0,0,0,37815,837,4000.0,15,2.2134073780245935,Medium,4.778972520908005,Low,266.6666666666667,55.8,20.925
120202347288820602,DEKRA Industrial - SEKTIONSCHEF till avdelningen oförstörande provning - Sundsvall - Boost Auto - Position ID: (48869) - AGNES,Recruitment,DEKRA Industrial,Chef,Sundsvall,Liten stad,facebook,1,0,0,0,68176,842,3999.99,15,1.2350387233043887,Low,4.750581947743468,Low,266.666,56.13333333333333,21.050052625131563
120214100995350047,Fabege - Fastighetstekniker - Stockholm - Boost - Position ID: (57984) - SIMON,Recruitment,Fabege,Tekniker,Stockholm,Stor stad,facebook,1,0,0,0,110310,2338,3999.35,25,2.1194814613362345,Medium,1.7105859709153122,Very Low,159.974,93.52,58.45949966869617
120213156198130592,1Komma5 - Säljare - Nationell - Boost - Teamtailor ID: (x) - SIMON,Recruitment,1Komma5,Säljare,Unknown,Unknown,facebook,1,0,0,0,110249,5775,3870.0,29,5.2381427495941,Very High,0.6701298701298701,Very Low,133.44827586206895,199.13793103448276,149.2248062015504
120209393294850592,Valio Sverige AB - Fältsäljare - Stockholm - Facebook & Instagram Boost - Position ID: (52332) - MOA,Recruitment,Valio Sverige AB,Säljare,Stockholm,Stor stad,facebook,1,0,0,0,65601,1692,3870.0,15,2.5792289751680615,Medium,2.2872340425531914,Low,258.0,112.8,43.72093023255814
